#  x座標 　y座標  波動関数密度 という順で出力してます
     0.67742     0.03226     0.00007
     0.67742     0.06452     0.00565
     0.67742     0.09677     0.02329
     0.67742     0.12903     0.06448
     0.67742     0.16129     0.15003
     0.67742     0.19355     0.31182
     0.67742     0.22581     0.59226
     0.67742     0.25806     1.03876
     0.67742     0.29032     1.69114
     0.67742     0.32258     2.56296
     0.67742     0.35484     3.62160
     0.67742     0.38710     4.77600
     0.67742     0.41935     5.88125
     0.67742     0.45161     6.76485
     0.67742     0.48387     7.26952
     0.67742     0.51613     7.29873
     0.67742     0.54839     6.84669
     0.67742     0.58065     6.00028
     0.67742     0.61290     4.91178
     0.67742     0.64516     3.75441
     0.67742     0.67742     2.67818
     0.67742     0.70968     1.78124
     0.67742     0.74194     1.10278
     0.67742     0.77419     0.63373
     0.67742     0.80645     0.33627
     0.67742     0.83871     0.16305
     0.67742     0.87097     0.07061
     0.67742     0.90323     0.02569
     0.67742     0.93548     0.00627
     0.67742     0.96774     0.00008
 
     0.70968     0.03226     0.00003
     0.70968     0.06452     0.00413
     0.70968     0.09677     0.01899
     0.70968     0.12903     0.05566
     0.70968     0.16129     0.13365
     0.70968     0.19355     0.28274
     0.70968     0.22581     0.54251
     0.70968     0.25806     0.95709
     0.70968     0.29032     1.56345
     0.70968     0.32258     2.37394
     0.70968     0.35484     3.35786
     0.70968     0.38710     4.43008
     0.70968     0.41935     5.45555
     0.70968     0.45161     6.27380
     0.70968     0.48387     6.73894
     0.70968     0.51613     6.76187
     0.70968     0.54839     6.33805
     0.70968     0.58065     5.54895
     0.70968     0.61290     4.53655
     0.70968     0.64516     3.46189
     0.70968     0.67742     2.46404
     0.70968     0.70968     1.63374
     0.70968     0.74194     1.00684
     0.70968     0.77419     0.57453
     0.70968     0.80645     0.30142
     0.70968     0.83871     0.14343
     0.70968     0.87097     0.06012
     0.70968     0.90323     0.02064
     0.70968     0.93548     0.00451
     0.70968     0.96774     0.00004
 
     0.74194     0.03226     0.00002
     0.74194     0.06452     0.00206
     0.74194     0.09677     0.01213
     0.74194     0.12903     0.04007
     0.74194     0.16129     0.10226
     0.74194     0.19355     0.22351
     0.74194     0.22581     0.43668
     0.74194     0.25806     0.77831
     0.74194     0.29032     1.27889
     0.74194     0.32258     1.94853
     0.74194     0.35484     2.76164
     0.74194     0.38710     3.64755
     0.74194     0.41935     4.49429
     0.74194     0.45161     5.16903
     0.74194     0.48387     5.55125
     0.74194     0.51613     5.56765
